"fips","Aedes_abserratus","Aedes_albopictus","Aedes_atlanticus","Aedes_atropalpus","Aedes_aurifer","Aedes_canadensis","Aedes_cantator","Aedes_cinereus","Aedes_communis","Aedes_dorsalis","Aedes_dupreei","Aedes_excrucians","Aedes_fitchii","Aedes_flavescens","Aedes_grossbecki","Aedes_hendersoni","Aedes_implicatus","Aedes_infirmatus","Aedes_intrudens","Aedes_japonicus","Aedes_mitchellae","Aedes_provocans","Aedes_punctor","Aedes_sollicitans","Aedes_spencerii","Aedes_sticticus","Aedes_stimulans","Aedes_taeniorhynchus","Aedes_thibaulti","Aedes_triseriatus","Aedes_trivittatus","Aedes_vexans","Anopheles_atropos","Anopheles_barberi","Anopheles_bradleyi","Anopheles_crucians","Anopheles_earlei","Anopheles_punctipennis","Anopheles_quadrimaculatus","Anopheles_walkeri","Culex_erraticus","Culex_pipiens","Culex_restuans","Culex_salinarius","Culex_tarsalis","Culex_territans","Culiseta_inornata","Culiseta_melanura","Culiseta_minnesotae","Culiseta_morsitans","Culiseta_particeps","Coquillettidia_perturbans","Orthopodomyia_alba","Orthopodomyia_signifera","Psorophora_ciliata","Psorophora_columnbiae","Psorophora_cyanescens","Psorophora_discolor","Psorophora_ferox","Psorophora_howardii","Psorophora_mathesoni","Toxorhynchites_rutilus","Uranotaenia_sapphirina","Wyeomyia_smithii"
"1",34037,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1
"2",34031,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
"3",34003,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0
"4",34017,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
"5",34013,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0
"6",34027,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0
"7",34041,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1
"8",34019,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0
"9",34035,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0
"10",34039,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0
